lego_ball
t	x	v_{x}
9.842555556E-1	2.668718392E-2	3.588718627E0
9.884111111E-1	4.176882291E-2	3.630323993E0
9.925555556E-1	5.681887306E-2	3.644810017E0
9.967111111E-1	7.202074605E-2	3.668077978E0
1.000866667E0	8.730467670E-2	3.731141230E0
1.005011111E0	1.029892183E-1	3.820034782E0
1.009166667E0	1.190109654E-1	3.836656153E0
1.013322222E0	1.348760938E-1	3.892154886E0
1.017477778E0	1.513590971E-1	3.920572916E0
1.021633333E0	1.674604110E-1	3.902005359E0
1.025788889E0	1.837890972E-1	4.031294896E0
1.029933333E0	2.009201586E-1	4.124647147E0
1.034088889E0	2.180236685E-1	4.167856315E0
1.038288889E0	2.357449136E-1	4.163769436E0
1.042400000E0	2.526292189E-1	4.199585963E0
1.046577778E0	2.705548150E-1	4.335637298E0
1.050711111E0	2.886631823E-1	4.367563544E0
1.054844444E0	3.066600070E-1	4.401384286E0
1.059011111E0	3.251946718E-1	4.476395886E0
1.063166667E0	3.439135683E-1	4.566763376E0
1.067322222E0	3.631495497E-1	4.509911621E0
1.071477778E0	3.813959449E-1	4.526131041E0
1.075622222E0	4.007164373E-1	4.669908949E0
1.079755556E0	4.200524134E-1	4.707761436E0
1.083922222E0	4.397908572E-1	4.702086659E0
1.088088889E0	4.592364689E-1	4.770075508E0
1.092222222E0	4.793824840E-1	4.877819447E0
1.096388889E0	4.997223703E-1	4.860515393E0
1.100544444E0	5.198327732E-1	4.923622471E0
1.104688889E0	5.405884368E-1	4.886780429E0
1.108855556E0	5.604473483E-1	5.031635103E0
1.112988889E0	5.823510082E-1	5.187276056E0
1.117144444E0	6.034441032E-1	5.032344900E0
1.121300000E0	6.241753858E-1	5.040585646E0
1.125455556E0	6.453369705E-1	5.022557734E0
1.129611111E0	6.659184212E-1	3.698093952E0
1.133766667E0	6.760722403E-1	1.875332092E0
1.137911111E0	6.814836775E-1	1.548451417E0
1.142055556E0	6.889071820E-1	1.836537005E0
1.146211111E0	6.967269347E-1	1.647242079E0
1.150388889E0	7.026341993E-1	1.151214272E0
1.154522222E0	7.062948044E-1	8.081238257E-1
1.158677778E0	7.093326479E-1	-7.264392547E-1
